Disease,Category,Symptoms,Prevention,Risk_Level
Male infertility,Digestive,"The main sign of male infertility is the inability to conceive a child. There may be no other obvious signs or symptoms; In some cases, however, an underlying problem such as an inherited disorder, hormonal imbalance, dilated veins around the testicle or a condition that blocks the passage of sperm causes signs and symptoms; Problems with sexual function — for example, difficulty with ejaculation or small volumes of fluid ejaculated, reduced sexual desire, or difficulty maintaining an erection (erectile dysfunction); Pain, swelling or a lump in the testicle area; Recurrent respiratory infections; Inability to smell; Abnormal breast growth (gynecomastia); Decreased facial or body hair or other signs of a chromosomal or hormonal abnormality","Don't smoke; Limit or abstain from alcohol; Steer clear of illicit drugs; Maintain a healthy weight; Don't get a vasectomy; Avoid things that lead to prolonged heat for the testicles; Reduce stress; Avoid exposure to pesticides, heavy metals and other toxins",High
Pancreatitis,Digestive,Pain in the upper belly; Pain in the upper belly that radiates to the back; Tenderness when touching the belly; Fever; Rapid pulse; Upset stomach; Vomiting; Chronic pancreatitis signs and symptoms include:,,High
Pericarditis,Cardiovascular,"Chest pain is the most common symptom of pericarditis. It usually feels sharp or stabbing. But some people have dull, achy or pressure-like chest pain; Most often, pericarditis pain is felt behind the breastbone or on the left side of the chest. The pain may:; Spread to the left shoulder and neck, or to both shoulders; Get worse when coughing, lying down or taking a deep breath; Get better when sitting up or leaning forward; Other symptoms of pericarditis can include:; Cough; Fatigue or general feeling of weakness or being sick",Stay away from people who have a viral or flu-like illnessuntil they've recovered; Follow good hygiene.Regular hand-washing can help prevent spreading illness. Scrub your hands with soap and water for at least 20 seconds; Get recommended vaccines,High
Metabolic syndrome,Cardiovascular,A large waist size can point to metabolic syndrome,,High
Claudication,Cardiovascular,"The pain may become more severe over time. You may even start to have pain at rest; Signs or symptoms of peripheral artery disease, usually in more-advanced stages, include:",,High
Whipple's disease,Infectious,Other frequent signs and symptoms associated with Whipple disease include:,,High
Cholestasis of pregnancy,Digestive,"Intense itching is the main symptom of cholestasis of pregnancy; The itching is most common during the third trimester of pregnancy but sometimes begins earlier; Other less common signs and symptoms of cholestasis of pregnancy may include:; Yellowing of the skin and whites of the eyes, called jaundice; Nausea; Loss of appetite; Oily, foul-smelling stools",There is no known way to prevent cholestasis of pregnancy,High
Intestinal ischemia,Cardiovascular,Symptoms of intestinal ischemia can come on quickly,,High
Pancreatic neuroendocrine tumors,Cancer,Heartburn; Weakness; Fatigue; Muscle cramps; Indigestion; Diarrhea; Weight loss; Skin rash,,High
Patellar tendinitis,Musculoskeletal,"Pain is the first symptom of patellar tendinitis. The pain most often is between the kneecap and where the tendon joins the shinbone, also called the tibia; At first, you may feel pain in your knee with jumping, as you start an activity or just after a hard workout",,Low
Diabetic ketoacidosis,Endocrine,More-certain signs of diabetic ketoacidosis — which can show up in home blood and urine test kits — include:,There are many ways to prevent diabetic ketoacidosis and other diabetes complications; Diabetes complications are scary,High
Mononucleosis,Respiratory,"The virus has an incubation period of about four to six weeks, although in young children this period may be shorter",Mononucleosis is spread through saliva; The Epstein-Barr virus may persist in your saliva for months after the infection. No vaccine exists to prevent mononucleosis,Medium
Hilar cholangiocarcinoma,Cancer,"Yellowing of the skin and the whites of the eyes, known as jaundice; Itching; Dark urine; Clay-colored stools; Stomach pain; Fatigue; Weight loss; Make an appointment with a doctor or other healthcare professional if you have any symptoms that worry you",,Low
Keratosis pilaris,Skin,"Painless tiny bumps on the upper arms, thighs, cheeks or buttocks; Dry, rough skin in the areas with bumps; Worsening when seasonal changes cause low humidity and dry skin; Sandpaper-like bumps resembling goose flesh",,Low
Lobular carcinoma in situ (LCIS),Cancer,Lobular carcinoma in situ doesn't cause signs or symptoms,,High
Legionnaires' disease,Respiratory,"By the second or third day, other symptoms can start, including:; Legionnaires' disease mostly involves the lungs. But it can cause infections in sores and in other parts of the body, including the heart; A mild form of Legionnaires' disease, called Pontiac fever, can cause fever, chills, headache and muscle aches",Outbreaks of Legionnaires' disease can be prevented by monitoring and cleaning water systems,High
Age spots (liver spots),Digestive,"Age spots may affect people of all skin types, but they're more common in adults with skin that sunburns easily",Cover up; Consider wearing clothing designed to provide sun protection,High
Body lice,Skin,"Body lice bites can cause intense itching, and you may notice small areas of blood and crust on your skin at the site of the bite marks; See your doctor if improved hygiene doesn't remove the infestation, or if you develop a skin infection from scratching the bites","To prevent body lice infestation, avoid having close physical contact or sharing bedding or clothing with anyone who has an infestation",Medium
